team,rating,talent_prior,form,talent,sp_rating,sp_offense.rating,sp_defense.rating,ret_totalPPA,ret_percentPPA,conference,division,rank
Rutgers,-10.22,2.07,-6.79,709.04,2.7,30.8,28.2,165.0,0.444,Big Ten,fbs,115
Marshall,-10.24,-4.67,-0.07,594.71,-8.2,27.6,36.0,284.6,0.988,Sun Belt,fbs,116
Oregon State,-10.35,-2.25,-2.61,635.79,-5.6,21.2,26.1,97.3,0.579,Pac-12,fbs,117
Miami (OH),-10.51,-3.1,-1.92,621.37,-4.0,19.2,23.8,31.9,0.139,Mid-American,fbs,118
Missouri State,-10.74,-7.3,2.06,549.92,-19.1,16.4,35.1,98.9,0.313,Conference USA,fbs,119
Stephen F. Austin,-10.84,0.0,16.26,,,,,,,Southland,fcs,120
Montana,-11.22,0.0,15.87,,,,,,,Big Sky,fcs,121
Oklahoma State,-11.23,-0.07,-5.66,672.69,6.9,29.9,23.4,0.0,0.0,Big 12,fbs,122
Eastern Michigan,-11.36,-5.5,-0.37,580.64,-16.1,17.2,33.4,228.5,0.721,Mid-American,fbs,123
Bowling Green,-11.4,-6.22,0.31,568.33,-15.0,13.9,29.2,-7.1,-0.062,Mid-American,fbs,124
San José State,-11.41,-6.17,0.25,569.25,-15.7,18.3,33.5,11.2,0.038,Mountain West,fbs,125
Central Michigan,-11.46,-7.89,1.93,540.01,-15.1,15.5,30.4,134.9,0.54,Mid-American,fbs,126
Rice,-11.74,-4.95,-1.3,589.89,-15.3,16.7,32.5,32.7,0.394,American Athletic,fbs,127
Colorado State,-11.83,-1.98,-4.35,640.31,-11.6,16.8,28.3,79.6,0.396,Mountain West,fbs,128
UAB,-11.99,-3.99,-2.5,606.18,-17.5,20.6,37.6,245.1,0.796,American Athletic,fbs,129
Lehigh,-12.06,0.0,15.03,,,,,,,Patriot,fcs,130
South Carolina State,-12.18,0.0,14.91,,,,,,,MEAC,fcs,131
North Dakota,-12.86,0.0,14.23,,,,,,,MVFC,fcs,132
Coastal Carolina,-13.18,-5.89,-1.79,573.96,-14.7,20.6,34.8,28.4,0.154,Sun Belt,fbs,133
Jackson State,-13.32,0.0,13.77,,,,,,,SWAC,fcs,134
Akron,-13.56,-7.49,-0.58,546.84,-22.9,11.3,33.6,158.8,0.918,Mid-American,fbs,135
Buffalo,-13.7,-7.34,-0.87,549.31,-12.7,15.3,28.5,-1.6,-0.008,Mid-American,fbs,136
Florida Atlantic,-14.55,-4.75,-4.31,593.36,-6.1,27.7,34.3,266.8,0.684,American Athletic,fbs,137
Tarleton State,-14.67,0.0,12.42,,,,,,,UAC,fcs,138
South Dakota,-15.06,0.0,12.03,,,,,,,MVFC,fcs,139
Prairie View A&M,-15.49,0.0,11.6,,,,,,,SWAC,fcs,140
Wyoming,-15.86,-8.58,-1.79,528.29,-10.8,15.5,25.6,36.8,0.23,Mountain West,fbs,141
Sam Houston,-15.9,-7.04,-3.36,554.47,-26.0,14.2,39.8,38.1,0.577,Conference USA,fbs,142
Elon,-16.09,0.0,11.0,,,,,,,Coastal Athletic,fcs,143
UTEP,-16.34,-5.19,-5.65,585.76,-19.3,15.2,34.1,-0.9,-0.011,Conference USA,fbs,144
UT Rio Grande Valley,-16.39,0.0,10.7,,,,,,,Southland,fcs,145
Northern Illinois,-16.6,-8.09,-3.02,536.58,-17.2,15.2,32.1,35.8,0.437,Mid-American,fbs,146
Incarnate Word,-17.1,0.0,9.99,,,,,,,Southland,fcs,147
Grambling,-17.56,0.0,9.54,,,,,,,SWAC,fcs,148
Yale,-17.57,0.0,9.53,,,,,,,Ivy,fcs,149
Charlotte,-17.58,-5.72,-6.37,576.77,-24.1,14.5,38.1,53.6,0.409,American Athletic,fbs,150
UC Davis,-17.8,0.0,9.29,,,,,,,Big Sky,fcs,151
Tennessee Tech,-17.95,0.0,9.14,,,,,,,OVC-Big South,fcs,152
South Dakota State,-17.98,0.0,9.11,,,,,,,MVFC,fcs,153
Villanova,-18.05,0.0,9.04,,,,,,,Coastal Athletic,fcs,154
Mercer,-18.33,0.0,8.76,,,,,,,Southern,fcs,155
Kent State,-18.8,-8.9,-4.4,522.83,-22.4,14.7,36.6,108.3,0.641,Mid-American,fbs,156
Ball State,-18.95,-6.48,-6.98,563.88,-25.1,12.2,36.7,5.6,0.057,Mid-American,fbs,157
Idaho State,-19.66,0.0,7.44,,,,,,,Big Sky,fcs,158
Dayton,-19.84,0.0,7.26,,,,,,,Pioneer,fcs,159
UL Monroe,-20.03,-9.92,-4.61,505.49,-28.9,11.9,40.1,63.5,0.387,Sun Belt,fbs,160
McNeese,-20.24,0.0,6.85,,,,,,,Southland,fcs,161
Southern Illinois,-20.49,0.0,6.6,,,,,,,MVFC,fcs,162
North Carolina Central,-20.54,0.0,6.56,,,,,,,MEAC,fcs,163
Sacramento State,-21.27,0.0,5.82,561.42,-23.4,14.7,38.2,,,Big Sky,fcs,164
William & Mary,-21.38,0.0,5.71,,,,,,,Coastal Athletic,fcs,165
Texas Southern,-21.68,0.0,5.42,,,,,,,SWAC,fcs,166
Wofford,-21.71,0.0,5.38,,,,,,,Southern,fcs,167
Rhode Island,-21.9,0.0,5.2,,,,,,,Coastal Athletic,fcs,168
Western Carolina,-22.06,0.0,5.03,,,,,,,Southern,fcs,169
Massachusetts,-22.17,-8.72,-7.96,525.94,-32.9,8.8,41.2,-3.4,-0.567,Mid-American,fbs,170
Austin Peay,-22.26,0.0,4.83,,,,,,,UAC,fcs,171
Abilene Christian,-22.26,0.0,4.83,,,,,,,UAC,fcs,171
Alcorn State,-22.48,0.0,4.61,,,,,,,SWAC,fcs,173
Delaware State,-22.54,0.0,4.55,,,,,,,MEAC,fcs,174
Youngstown State,-22.81,0.0,4.29,,,,,,,MVFC,fcs,175
Morehead State,-23.15,0.0,3.95,,,,,,,Pioneer,fcs,176
