year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2026,Florida Atlantic,American Athletic,-7.4,100.0,,,72.0,26.4,,,,,,,,,118.0,34.2,,,,,,,,,,0.4
2026,Stanford,ACC,-7.4,100.0,,,107.0,20.8,,,,,,,,,80.0,27.8,,,,,,,,,,-0.5
2026,Georgia Southern,Sun Belt,-7.7,102.0,,,96.0,22.7,,,,,,,,,100.0,30.4,,,,,,,,,,0.0
2026,Delaware,Conference USA,-8.1,103.0,,,85.0,24.5,,,,,,,,,110.0,32.3,,,,,,,,,,-0.3
2026,Louisiana Tech,Sun Belt,-8.2,104.0,,,99.0,22.2,,,,,,,,,100.0,30.4,,,,,,,,,,0.0
2026,North Texas,American Athletic,-9.2,105.0,,,75.0,26.2,,,,,,,,,125.0,35.2,,,,,,,,,,-0.2
2026,Utah State,Pac-12,-9.3,106.0,,,107.0,20.8,,,,,,,,,92.0,29.7,,,,,,,,,,-0.4
2026,Arkansas State,Sun Belt,-9.5,107.0,,,89.0,23.7,,,,,,,,,113.0,33.3,,,,,,,,,,0.1
2026,Nevada,Mountain West,-9.6,108.0,,,117.0,18.7,,,,,,,,,86.0,28.7,,,,,,,,,,0.3
2026,Coastal Carolina,Sun Belt,-10.2,109.0,,,93.0,23.1,,,,,,,,,112.0,32.9,,,,,,,,,,-0.3
2026,Marshall,Sun Belt,-11.0,110.0,,,78.0,25.7,,,,,,,,,130.0,36.8,,,,,,,,,,0.2
2026,South Alabama,Sun Belt,-12.1,111.0,,,86.0,24.2,,,,,,,,,127.0,35.7,,,,,,,,,,-0.6
2026,Florida International,Conference USA,-12.3,112.0,,,113.0,19.5,,,,,,,,,106.0,31.6,,,,,,,,,,-0.2
2026,Kennesaw State,Conference USA,-12.5,113.0,,,111.0,19.9,,,,,,,,,108.0,31.9,,,,,,,,,,-0.5
2026,Ohio,Mid-American,-12.7,114.0,,,123.0,16.9,,,,,,,,,89.0,29.1,,,,,,,,,,-0.6
2026,San José State,Mountain West,-13.9,115.0,,,122.0,17.1,,,,,,,,,103.0,30.8,,,,,,,,,,-0.2
2026,Central Michigan,Mid-American,-14.9,116.0,,,128.0,14.9,,,,,,,,,91.0,29.6,,,,,,,,,,-0.2
2026,Rice,American Athletic,-14.9,116.0,,,123.0,16.9,,,,,,,,,109.0,32.1,,,,,,,,,,0.3
2026,Wyoming,Mountain West,-15.0,118.0,,,135.0,13.4,,,,,,,,,81.0,28.0,,,,,,,,,,-0.5
2026,New Mexico State,Conference USA,-15.7,119.0,,,119.0,17.9,,,,,,,,,114.0,33.5,,,,,,,,,,-0.1
2026,Buffalo,Mid-American,-16.1,120.0,,,130.0,14.3,,,,,,,,,104.0,30.9,,,,,,,,,,0.5
2026,Sam Houston,Conference USA,-16.3,121.0,,,118.0,18.3,,,,,,,,,118.0,34.2,,,,,,,,,,-0.4
2026,Western Kentucky,Conference USA,-16.5,122.0,,,109.0,20.2,,,,,,,,,131.0,37.1,,,,,,,,,,0.3
2026,UAB,American Athletic,-17.0,123.0,,,113.0,19.5,,,,,,,,,128.0,36.1,,,,,,,,,,-0.4
2026,Missouri State,Conference USA,-17.4,124.0,,,120.0,17.7,,,,,,,,,123.0,34.6,,,,,,,,,,-0.5
2026,Eastern Michigan,Mid-American,-18.9,125.0,,,126.0,15.8,,,,,,,,,121.0,34.5,,,,,,,,,,-0.2
2026,Middle Tennessee,Conference USA,-18.9,125.0,,,121.0,17.2,,,,,,,,,129.0,36.2,,,,,,,,,,0.2
2026,Southern Miss,Sun Belt,-19.1,127.0,,,115.0,19.1,,,,,,,,,134.0,37.8,,,,,,,,,,-0.4
2026,Georgia State,Sun Belt,-19.6,128.0,,,109.0,20.2,,,,,,,,,137.0,39.2,,,,,,,,,,-0.5
2026,UTEP,Mountain West,-19.7,129.0,,,125.0,16.2,,,,,,,,,126.0,35.5,,,,,,,,,,-0.5
2026,Northern Illinois,Mountain West,-19.7,129.0,,,130.0,14.3,,,,,,,,,117.0,33.8,,,,,,,,,,-0.2
2026,Massachusetts,Mid-American,-19.9,131.0,,,128.0,14.9,,,,,,,,,121.0,34.5,,,,,,,,,,-0.4
2026,Akron,Mid-American,-20.8,132.0,,,135.0,13.4,,,,,,,,,116.0,33.6,,,,,,,,,,-0.6
2026,Sacramento State,Mid-American,-20.9,133.0,,,132.0,13.8,,,,,,,,,123.0,34.6,,,,,,,,,,-0.1
2026,Bowling Green,Mid-American,-22.0,134.0,,,138.0,11.9,,,,,,,,,118.0,34.2,,,,,,,,,,0.2
2026,Charlotte,American Athletic,-24.1,135.0,,,127.0,15.0,,,,,,,,,136.0,38.7,,,,,,,,,,-0.4
2026,Ball State,Mid-American,-24.3,136.0,,,134.0,13.5,,,,,,,,,132.0,37.2,,,,,,,,,,-0.5
2026,Kent State,Mid-American,-24.8,137.0,,,133.0,13.7,,,,,,,,,135.0,38.0,,,,,,,,,,-0.5
2026,UL Monroe,Sun Belt,-28.0,138.0,,,137.0,13.1,,,,,,,,,138.0,40.5,,,,,,,,,,-0.6
2026,nationalAverages,,0.5608695652173913,,,,,26.443478260869565,,,,,,,,,,25.89710144927536,,,,,,,,,,0.011594202898550725
